text,label
There is a suspicious person nearby,1
Just going out for dinner,0
I am in danger,1
I am in danger,1
All good here,0
Having a good day,0
Everything is fine,0
All good here,0
Everything is fine,0
I feel unsafe right now,1
Having a good day,0
Having a good day,0
I am in danger,1
Help me please,1
I reached home safely,0
Just going out for dinner,0
Having a good day,0
I reached home safely,0
Someone is following me,1
I am in danger,1
Help me please,1
Just going out for dinner,0
Having a good day,0
There is a suspicious person nearby,1
Just going out for dinner,0
I reached home safely,0
I am in danger,1
Just going out for dinner,0
I feel unsafe right now,1
Just going out for dinner,0
I reached home safely,0
Someone is following me,1
All good here,0
I feel unsafe right now,1
Having a good day,0
There is a suspicious person nearby,1
Just going out for dinner,0
I feel unsafe right now,1
There is a suspicious person nearby,1
Someone is following me,1
I am in danger,1
Help me please,1
I am in danger,1
All good here,0
All good here,0
I am in danger,1
Help me please,1
Just going out for dinner,0
There is a suspicious person nearby,1
Having a good day,0
There is a suspicious person nearby,1
I feel unsafe right now,1
Just going out for dinner,0
All good here,0
Everything is fine,0
Just going out for dinner,0
There is a suspicious person nearby,1
Just going out for dinner,0
Having a good day,0
I reached home safely,0
All good here,0
Everything is fine,0
I feel unsafe right now,1
All good here,0
All good here,0
I am in danger,1
I reached home safely,0
Just going out for dinner,0
I reached home safely,0
Having a good day,0
I feel unsafe right now,1
All good here,0
Help me please,1
I am in danger,1
Just going out for dinner,0
I feel unsafe right now,1
I feel unsafe right now,1
I am in danger,1
I am in danger,1
Someone is following me,1
I am in danger,1
All good here,0
I feel unsafe right now,1
Just going out for dinner,0
Someone is following me,1
There is a suspicious person nearby,1
There is a suspicious person nearby,1
Someone is following me,1
Everything is fine,0
Someone is following me,1
I am in danger,1
Just going out for dinner,0
Having a good day,0
Everything is fine,0
Someone is following me,1
All good here,0
All good here,0
Just going out for dinner,0
Someone is following me,1
Help me please,1
Help me please,1
Everything is fine,0
Just going out for dinner,0
I am in danger,1
Everything is fine,0
All good here,0
Someone is following me,1
Someone is following me,1
Everything is fine,0
I am in danger,1
Having a good day,0
There is a suspicious person nearby,1
Everything is fine,0
I reached home safely,0
Help me please,1
Just going out for dinner,0
I reached home safely,0
All good here,0
Help me please,1
I feel unsafe right now,1
I reached home safely,0
Help me please,1
All good here,0
Someone is following me,1
Just going out for dinner,0
Just going out for dinner,0
Just going out for dinner,0
There is a suspicious person nearby,1
Having a good day,0
I am in danger,1
Having a good day,0
Just going out for dinner,0
Everything is fine,0
Someone is following me,1
There is a suspicious person nearby,1
There is a suspicious person nearby,1
Someone is following me,1
Just going out for dinner,0
Just going out for dinner,0
There is a suspicious person nearby,1
Someone is following me,1
Having a good day,0
Everything is fine,0
Help me please,1
There is a suspicious person nearby,1
Just going out for dinner,0
Someone is following me,1
Having a good day,0
I reached home safely,0
I am in danger,1
Everything is fine,0
I am in danger,1
Help me please,1
I reached home safely,0
There is a suspicious person nearby,1
I reached home safely,0
Someone is following me,1
I reached home safely,0
I feel unsafe right now,1
Having a good day,0
I reached home safely,0
Having a good day,0
Having a good day,0
Just going out for dinner,0
There is a suspicious person nearby,1
Help me please,1
All good here,0
Having a good day,0
Someone is following me,1
I am in danger,1
I reached home safely,0
Someone is following me,1
All good here,0
I reached home safely,0
I reached home safely,0
I reached home safely,0
Just going out for dinner,0
I reached home safely,0
Someone is following me,1
I feel unsafe right now,1
Someone is following me,1
Just going out for dinner,0
Just going out for dinner,0
Having a good day,0
There is a suspicious person nearby,1
I feel unsafe right now,1
All good here,0
I reached home safely,0
Someone is following me,1
Help me please,1
Help me please,1
Someone is following me,1
I reached home safely,0
I am in danger,1
Someone is following me,1
I am in danger,1
I feel unsafe right now,1
Help me please,1
Just going out for dinner,0
I am in danger,1
